Char,Sentiment_score,Unicode_name
🚢,0.231,SHIP
🚚,-0.077,DELIVERY_TRUCK
🐉,0.154,DRAGON
❒,0.231,UPPER_RIGHT_SHADOWED_WHITE_SQUARE
🐊,0.077,CROCODILE
🔔,0.769,BELL
◢,0.615,BLACK_LOWER_RIGHT_TRIANGLE
🏥,0.250,HOSPITAL
❔,0.000,WHITE_QUESTION_MARK_ORNAMENT
🚖,-0.083,ONCOMING_TAXI
🃏,0.083,PLAYING_CARD_BLACK_JOKER
▼,0.083,BLACK_DOWN-POINTING_TRIANGLE
▌,-0.250,LEFT_HALF_BLOCK
☛,0.333,BLACK_RIGHT_POINTING_INDEX
✩,0.000,STRESS_OUTLINED_WHITE_STAR
💒,0.500,WEDDING
🚤,0.333,SPEEDBOAT
🐐,0.417,GOAT
■,-0.250,BLACK_SQUARE
🔚,0.333,END_WITH_LEFTWARDS_ARROW_ABOVE
🎻,0.333,VIOLIN
🔷,0.167,LARGE_BLUE_DIAMOND
🚦,0.083,VERTICAL_TRAFFIC_LIGHT
🔓,0.083,OPEN_LOCK
🎽,0.417,RUNNING_SHIRT_WITH_SASH
📅,0.167,CALENDAR
🎺,0.583,TRUMPET
✯,0.000,PINWHEEL_STAR
🍈,-0.333,MELON
✉,0.250,ENVELOPE
